pbd, molpdf_coor1, DOPE_coor1, DOPEHR_coor1, NDOPE_coor1, outlier_coor1, allowed_coor1, molpdf_coor2, DOPE_coor2, DOPEHR_coor2, NDOPE_coor2, outlier_coor2, allowed_coor2, coef_var_coor1, coef_var_coor2
1atx_, -0.000936998778848615, -0.03153412096249127, -0.05477610359681455, 0.037206842569385445, 0.996276922269895, -0.045301707932534414, -0.05539495682918941, 0.4073987292468916, 0.7306633772978852, -0.5401327695996043, 0.07303605449510478, -0.003321022433946906, 0.7035940443086581, 0.21192338124490018
1awj_, 0.4686159260301031, -0.07140420566166747, -0.19473991002216337, -0.417093238854615, 0.7471271414835788, -0.07218853987772779, 0.02778955084791728, 0.13079084150178205, 0.23784579113594678, 0.8156640801031719, 0.5067277788417883, -0.05890622090541336, 0.6557134180259694, 0.2419247831218926
1a1iA, 0.4386418517985268, -0.04218384913853535, -0.7690271524740797, 0.07267683789853509, 0.43736085043495604, -0.13358387335343683, 0.12149400516384978, 0.6072103469262141, -0.10016205886024458, -0.7708713727227462, -0.11070608157644289, 0.001963027867533576, 0.6189300756976434, 0.2733497282511577
1a32_, 0.37689328131545213, -0.47041413378677793, -0.572484864626924, 0.34057059857310984, 0.4278025805313007, -0.09959767308683905, 0.2932078286697818, -0.059408668354167755, 0.7435745376145271, 0.08256495711394082, 0.5865230356655882, -0.08228270069021884, 0.6105220541148256, 0.25914937497525353
1a6s_, 0.9613741879038602, -0.048504333704023316, -0.15398482590617407, -0.16935044548139586, -0.14492807459764234, 0.0034574041476013537, 0.142379454084087, -0.004174609116768857, -0.02464119180014657, -0.015076398928129443, 0.9891003020089003, -0.023595976804724316, 0.5043127887379037, 0.4301035214975607
1adr_, 0.20125034521535815, 0.01738984413995322, -0.03518920635968854, 0.08242447869058947, 0.9738249249773391, -0.0531867693390651, 0.5491245003704732, -0.1589541667647493, -0.27291908140341453, -0.7717461652378961, -0.054525094824172296, 0.012078966923378056, 0.7665009812374853, 0.15355054273641053
1afj_, 0.9995492703290146, 0.001758999785860134, -0.02942627620503808, 0.00567946944636531, -0.0, -0.0, 0.00876915121931186, 0.2716104504783883, 0.47558341737863846, 0.8366428618546121, -0.0, -0.0, 0.9195356177353102, 0.07238298716698705
1agg_, 0.09941964032544207, -0.09824957900004154, -0.4019279642137189, 0.4449768837952862, 0.7865947369424857, -0.04670074548771632, 0.1674110183424058, 0.163922298801007, 0.29237194694726826, -0.7358739800664761, 0.5632384829258104, -0.029556257276098053, 0.6080419477982589, 0.3015822311843652
1aho_, -0.04270539604228789, 0.018678520687066533, 0.04658357241989414, 0.06721329202748992, 0.9950587713294852, -0.03158714563708295, 0.8404849081160237, -0.11820652973953906, -0.3163386228044326, -0.41588078632243036, 0.0811095158269175, -0.002574740470409657, 0.9035577995153184, 0.07701781664810439
1akhA, 0.2201366118317354, -0.298643809761418, -0.7795591304086278, 0.24057377096743557, 0.4326263038539531, -0.09796964404930882, 0.565583127090022, -0.35480663761814424, 0.5829387401134994, 0.32745617025646084, 0.32073719960203, -0.06565445057636049, 0.6135901946613708, 0.237377048355731
